Unnamed: 0,A_Beta_Blocker,A_ARB,A_CCB,A_Thiazide_Diuretic,A_ACE
0,0.996149651149448,0.9967848024079524,0.9953962887922362,0.9943209286675434,0.9977621226739712
1,0.9941422868714684,0.9978806930940244,0.9974574652050924,0.9975315628592719,0.9967462174987534
2,0.9943285350709904,0.9967344497631934,0.9952449188542504,0.9920326245621296,0.9962469323908736
3,0.9955490184911264,0.9990310562353863,0.9968102886391941,0.9964938447509288,0.9965191275635004
4,0.9947368581097308,0.9957561981534576,0.9936621619885528,0.9916528075399192,0.995073273402651
5,0.9945056183616366,0.9964181842828816,0.9964009410581182,0.9975625755592477,0.99765392898178
6,0.9948086044134478,0.9914581719435176,0.9952572268559928,0.9958439214639933,0.9965509852046432
7,0.9942398589122836,0.9924939129867064,0.9961514026229572,0.9969760923539424,0.9951239754070672
8,0.9945664989023714,0.9922003300055714,0.9963752433570856,0.9962690729374768,0.9960155251278054
9,0.9955741821035228,0.9945347986521286,0.9964601775457864,0.996317905770532,0.9965307550866952
10,0.993941307811698,0.9973500106544992,0.994400129812167,0.9957419680249624,0.9945831433020624
11,0.9921725281876332,0.9985848365266744,0.9966764618203564,0.9961443563378216,0.9961455136145854
12,,0.9937014530401554,0.9953861620080321,0.9944463077712252,0.9956210177254158
13,0.9938399466938044,0.9971986505540156,0.9947939658143335,0.9945291023714236,0.99668046149611
14,0.9946505874710506,0.9985307844072944,0.9956597548477018,0.9977425505299794,0.9956684987819406
15,0.9955850127400964,0.9994602744419259,0.9966137946777714,0.9974121136882128,0.9959275177259206
16,0.9952354473905428,0.995542304458811,0.9952677439704208,0.996024020968002,0.9970521615463648
17,0.9959072250472346,0.9982696842730248,0.9950470532970248,0.9972677222448596,0.9962621380991824
18,0.9948438838448922,0.9926009530259359,0.993797647813556,0.99788590967281,0.9964270836596852
19,0.99498107563386,0.9949940701295126,0.9939116088156804,0.9981745626393098,0.9958622110716182
20,0.9918118206074364,0.9938436645785412,0.9981942171809391,0.9943919872463544,0.9958038319280968
21,0.992982334574855,0.9922368495392468,0.9958939670179774,0.9949543391562522,0.9964755407673384
22,0.9949825141395916,0.9946295316679558,0.9927536269984292,0.9956443018599396,0.9970324337595784
23,0.9937274434135032,0.9959423157958064,0.9958465657444772,0.9948219244732052,0.9956413656595392
24,0.9927284377977776,0.9971951412037084,0.9944684921876288,0.9961275553238028,0.997143129633564
25,0.9961858255733396,0.9975775613341504,0.9952254410882948,0.9968350486327332,0.9956037888183632
26,0.9940744953927596,0.995712779822186,0.9955607855342962,0.9968592672468812,0.9970043429823634
27,0.995161852858076,0.9980323239608296,0.9968527109981454,0.9948324451504584,0.996105028601302
28,0.9945126716462648,0.99494292075408,0.9953363294126936,0.9984600535907676,0.9946677006653636
29,0.9924831383451576,0.9967253576761308,0.9956502926581052,0.9979781621565936,0.9967241963369642
30,0.9948354138601018,0.9963935843237864,0.9944209640934741,0.9948309546473864,0.9962582502719496
31,0.9942475168054484,0.9943895577761752,0.9971816653105376,0.9962384614317916,0.9955652357198016
32,0.9952702500658924,0.9963217961534152,0.9962265383327452,0.99670261659339,0.9967207309764186
33,0.9916690629251964,0.9941975111836958,0.9953609906074048,0.996912808918476,0.9957831198730179
34,0.9947477987976496,0.9922300407394476,0.9962962150554152,0.9973297313302092,0.9940008756044166
35,0.9931655295195794,0.996371754996294,0.9947514800853428,0.9979484439096922,0.9954272444522512
36,0.9924929975662188,0.9959365045443036,0.9956859565243308,0.9990040528783258,0.9959971382759262
37,0.9953220508639063,0.9974677087847552,0.9953049082072342,0.9966177249748176,0.997571865983876
38,0.994310271033344,0.997149701534414,0.9943822406802962,0.9947280291412404,0.9950785372310884
39,0.9950178634095441,0.9973908319057764,0.9944846486714528,0.9964192950384292,0.9963778088667564
40,0.9946734620046808,0.9964832207679306,0.9956551820696862,0.9971400126907504,0.9954519986904762
41,0.9947936711186592,0.9951135466977056,0.9963042002778121,0.995541328788846,0.9957132574955416
42,0.9944745663511676,0.9985884235324308,0.9939508158729258,0.9956298096039672,0.99604753572012
43,0.994672545230532,0.9986284332658344,0.9952982510696584,0.9979299734413052,0.9953686512071876
44,0.9960603702283496,0.9979656396300448,0.9957430014730564,0.9983909092653026,0.9954428129470878
45,0.9935833689807276,0.9972562179342468,0.9967720996147592,0.9980875563016092,0.9965954296659956
46,0.9931153496221068,0.9990804600958272,0.9950993087857392,0.9926589686761198,0.9953964475043512
47,0.9928637542794402,0.9976602402587172,0.995664907459394,0.996075808135084,0.9970988563132852
48,0.993430646218981,0.9978495571185412,0.9977328501676224,0.997889139176366,0.9964570512099394
49,0.9947368430602154,0.9966508216283168,0.9969510661058568,0.994030455576351,0.9941903323112956
50,0.9949383948617118,0.9975622792488724,0.9940787105575984,0.9993877898711117,0.9972183028522876
51,0.9946103042576544,0.993319011732251,0.9959612330510621,0.9988093237220173,0.9965678731413602
52,0.9913930791944441,0.99549574413727,0.9956094658958888,0.9964805467965946,0.9961085526266312
53,0.9937871929687728,0.9947182184038568,0.9955543921101936,0.994843124750879,0.9961327306289772
54,0.9958205164737758,0.9935288717295124,0.9957143948444312,0.992970975123577,0.9978101526501169
55,0.9942682793772516,0.9925640077804192,0.99597017313863,0.9971703754660532,0.997284666495523
56,0.9953854223371386,0.9983832708894078,0.9955603968518948,0.9966685902641677,0.9957974413238422
57,0.9947259239675283,0.9942662692329676,0.9958867021428254,0.995488114549572,0.9949425078465126
58,0.9924264271316284,0.9971916589301388,0.9962758684994012,0.998944909543332,0.9963598114045124
59,0.9955693299060502,0.9964826925064072,0.9962216667997872,0.9983100918139962,0.9968755551957248
60,0.9943966606723168,0.9953648303274052,0.9937681098818364,0.9989837700396555,0.9967976258902266
61,0.9960945021888716,0.9986946042529548,0.9966162644227364,0.9929268635964712,0.9957283973371368
62,0.9957452043359784,0.9956375814160942,0.9942261399387812,0.997968894872626,0.9956868114107406
63,0.9949143720637532,0.9962307266833216,0.9944188994400124,0.9945843237333698,0.9965472247856264
64,0.9955979912809066,,0.9925447463216786,0.9965054691090768,0.9964449305331552
65,0.9955977364268912,0.9984397069692612,0.994818704203104,0.9933975242723824,0.9957592905134599
66,0.9959942147940012,0.9948037628748108,0.9927514009211664,0.9975723367984132,0.9952986112334136
67,0.99610217276474,0.995480335670473,0.9953010127153712,0.9958120269883736,0.9961199175696608
68,0.9969256453438342,0.9981982746639508,0.9959940068206922,0.9927435620147966,0.9970709485750172
69,0.9962916702772208,0.9945386056717008,0.9963233961902952,0.9977871864767472,0.9957892634282972
70,0.994057398385548,0.9971833166560724,0.9949980686923224,0.9980699889240524,0.996253939041614
71,0.9943776575421326,0.9969261500836752,0.993675315356558,0.9957607449486504,0.9966068724084152
72,0.9947341086026712,0.9984821053467408,0.992726559185798,0.9969637228543388,0.99629174030954
73,,0.9972710824791272,0.9972834765464428,0.9980029512793857,0.994834658718384
74,0.9958056704400784,0.9988228448738578,0.9964216160123996,0.9940168383633056,0.9972314339986668
75,0.9950965192330514,0.9971063722498744,0.995441614437272,0.9984727219253952,0.995865550286124
76,0.9926447924928634,0.9951471973941526,0.9942947064873204,0.9967941135584932,0.9943876488104132
77,0.9957968244686028,0.9941173779370076,0.995749878220566,0.998499388386802,0.9963385611960052
78,0.9962589712211178,0.9974938233840792,0.9942111332784188,0.995078299556886,0.9945298616130206
79,0.996021222275922,0.9971579123569916,0.9956653676418998,0.9979341343021496,0.9944563512468979
80,0.9946185090351048,0.9979522750269292,0.9947469664291562,0.9895377611395154,0.9952826577974876
81,0.995832361730088,0.9920739566304032,0.9972835391255424,0.9942894357179928,0.995089578097226
82,0.9947508261262424,0.9954042933944602,0.9956100549600532,0.9945901632698101,0.9961293818274484
83,0.9947315214545712,0.9963440158571728,0.9951582389481772,0.9952285955717908,0.9950103822664459
84,0.9949256352526448,0.9965670447374748,0.9970038546321154,0.9954004927241454,0.9944653664230368
85,0.9944611865661838,0.997443933323394,0.9950236487681922,0.999356379617153,0.9953537720563012
86,0.9947093820559846,0.9955436996861292,0.9949796883339764,0.9985946668068552,0.9948571531451872
87,0.9938806082533136,0.9964924195993066,0.994138946334818,0.9981834780857471,0.9964208339068824
88,0.9953076020762844,0.9919300310012268,0.9954858146684652,0.9950913218174292,0.9968196559027808
89,0.9951638558415592,0.9989087344354356,0.9944103570996456,0.9982989940400432,0.9958159278821302
90,0.9940491022208618,0.9967060143868476,,0.9962010609939776,0.9963617576065664
91,0.9955362566483248,0.9932368263128292,0.9960425446274837,0.9992148452968506,0.9956387328581076
92,0.996073330325092,0.9972464298185352,0.9919467681018108,0.9955280354819026,0.9958066436701606
93,0.992361065188435,0.99429468494341,0.9943037725868265,0.9984593215715196,0.9961115807924672
94,0.9923932661626736,0.9987113862950272,0.9969412516119518,0.9966310353175382,0.9959119535705714
95,0.9950977037058472,0.9973156157755844,0.9943584094726368,0.9952138981883192,0.9950191044331372
96,0.9927520660203522,0.9967797366767668,0.9970770480359438,0.9979155780167234,0.9957940849586314
97,0.9964396704982764,0.9962363771521552,0.9924363214247558,0.9953891457047253,0.9976155940302132
98,0.9945258040444942,0.9959352539400972,0.9931013195703721,0.9971237551023688,0.99262788962559
99,0.993529409732496,0.9966791168166222,0.9940394016446022,0.9946468391640608,0.9950598190657608
